Time Stamp,Ignition Advance," RPM",AuxInput," AFM (V)",DME Voltage (V)," IAT (F)"," ECT (F)",Throttle Switch," ICV (%)",Fly. Mark (Errors),Fly. RPM (Errors),Fly. Tooth (Count),Flywheel Vehicle," NBO2 (V)",NBO2 Digital," FQS"," BAP (PSI)"," MAP (PSI)"," WBO2 (AFR)"," WBO2 (Lamda)",Ign. Dwell (ms),Inj. Pulse (ms),Fuel Pump,DME Program,Codeing Plug,AC Comp.
01:15:10:781523,11.07,791,Disabled,1.18,13.61,9,64,Idle,52.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.9,ON,28 Pin,Removed,OFF
01:15:10:797144,11.07,800,Disabled,1.18,13.61,9,64,Idle,52.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.9,ON,28 Pin,Removed,OFF
01:15:10:812763,11.07,800,Disabled,1.18,13.61,9,64,Idle,52.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:10:828383,11.07,800,Disabled,1.18,13.61,9,64,Idle,52.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:10:844002,11.07,809,Disabled,1.18,13.61,9,64,Idle,52.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,4.0,ON,28 Pin,Removed,OFF
01:15:10:859623,11.07,793,Disabled,1.18,13.61,9,64,Idle,51.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,4.0,ON,28 Pin,Removed,OFF
01:15:10:875243,9.69,793,Disabled,1.18,13.61,9,64,Idle,51.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,4.0,ON,28 Pin,Removed,OFF
01:15:10:890867,9.69,793,Disabled,1.18,13.62,9,64,Idle,51.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,4.0,ON,28 Pin,Removed,OFF
01:15:10:906483,9.69,805,Disabled,1.18,13.60,9,64,Idle,51.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,4.0,ON,28 Pin,Removed,OFF
01:15:10:922103,9.69,805,Disabled,1.18,13.61,9,64,Idle,51.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:10:937723,8.30,805,Disabled,1.18,13.61,9,64,Idle,51.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:10:953343,8.30,821,Disabled,1.18,13.62,9,64,Idle,51.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:10:968964,8.30,821,Disabled,1.18,13.61,9,64,Idle,50.9,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.8,ON,28 Pin,Removed,OFF
01:15:10:984585,8.30,821,Disabled,1.18,13.61,9,64,Idle,50.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:11:000204,8.30,819,Disabled,1.18,13.62,9,64,Idle,50.6,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:11:015823,8.30,821,Disabled,1.18,13.61,9,64,Idle,50.6,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:11:031443,8.30,821,Disabled,1.18,13.61,9,64,Idle,50.6,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:047063,8.30,821,Disabled,1.18,13.61,9,64,Idle,50.4,1,1,130,944 NA,0.46,Lean,0,12.5,Disabled,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:062684,8.30,809,Disabled,1.18,13.62,9,64,Idle,50.4,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.8,ON,28 Pin,Removed,OFF
01:15:11:078302,8.30,826,Disabled,1.18,13.62,9,64,Idle,50.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.8,ON,28 Pin,Removed,OFF
01:15:11:093922,8.30,826,Disabled,1.18,13.59,9,64,Idle,50.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.8,ON,28 Pin,Removed,OFF
01:15:11:109547,8.30,826,Disabled,1.18,13.61,9,64,Idle,50.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.8,ON,28 Pin,Removed,OFF
01:15:11:125165,8.30,814,Disabled,1.19,13.61,9,64,Idle,50.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.8,ON,28 Pin,Removed,OFF
01:15:11:140784,8.30,803,Disabled,1.19,13.62,9,64,Idle,50.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.8,ON,28 Pin,Removed,OFF
01:15:11:156406,8.30,823,Disabled,1.19,13.61,9,64,Idle,50.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.9,3.8,ON,28 Pin,Removed,OFF
01:15:11:172024,9.69,823,Disabled,1.19,13.61,9,64,Idle,49.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.9,3.8,ON,28 Pin,Removed,OFF
01:15:11:187644,9.69,803,Disabled,1.19,13.61,9,64,Idle,49.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.9,3.8,ON,28 Pin,Removed,OFF
01:15:11:203264,9.69,803,Disabled,1.19,13.60,9,64,Idle,49.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.9,3.8,ON,28 Pin,Removed,OFF
01:15:11:218883,9.69,803,Disabled,1.19,13.61,9,64,Idle,49.4,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.9,3.8,ON,28 Pin,Removed,OFF
01:15:11:234503,11.07,808,Disabled,1.19,13.60,9,64,Idle,49.4,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.8,ON,28 Pin,Removed,OFF
01:15:11:250123,11.07,808,Disabled,1.19,13.60,9,64,Idle,49.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.8,ON,28 Pin,Removed,OFF
01:15:11:265746,11.07,808,Disabled,1.19,13.60,9,64,Idle,49.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.8,ON,28 Pin,Removed,OFF
01:15:11:281363,11.07,799,Disabled,1.19,13.62,9,64,Idle,49.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.9,ON,28 Pin,Removed,OFF
01:15:11:296983,11.07,798,Disabled,1.19,13.62,9,64,Idle,49.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.9,ON,28 Pin,Removed,OFF
01:15:11:312607,9.69,796,Disabled,1.19,13.62,9,64,Idle,49.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:11:328224,9.69,796,Disabled,1.19,13.63,9,64,Idle,49.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:11:343844,9.69,812,Disabled,1.19,13.61,9,64,Idle,48.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:11:359464,9.69,812,Disabled,1.19,13.62,9,64,Idle,48.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:11:375083,9.69,803,Disabled,1.19,13.62,9,64,Idle,48.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:11:390702,9.69,803,Disabled,1.19,13.61,9,64,Idle,48.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:11:406322,9.69,803,Disabled,1.19,13.62,9,64,Idle,48.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:11:421942,9.69,805,Disabled,1.19,13.62,9,64,Idle,48.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:11:437565,9.69,805,Disabled,1.19,13.64,9,64,Idle,48.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:11:453184,11.07,805,Disabled,1.19,13.63,9,64,Idle,48.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:11:468802,11.07,805,Disabled,1.18,13.63,9,64,Idle,48.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:11:484422,11.07,806,Disabled,1.18,13.63,9,64,Idle,48.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:11:500043,11.07,806,Disabled,1.18,13.62,9,64,Idle,48.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:515664,11.07,806,Disabled,1.18,13.64,9,64,Idle,48.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:531284,12.46,807,Disabled,1.18,13.64,9,64,Idle,48.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:546903,12.46,807,Disabled,1.18,13.64,9,64,Idle,48.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:562524,12.46,807,Disabled,1.18,13.64,9,64,Idle,48.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:578144,12.46,811,Disabled,1.18,13.63,9,64,Idle,48.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:11:593764,12.46,811,Disabled,1.18,13.63,9,64,Idle,48.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:11:609383,12.46,812,Disabled,1.18,13.63,9,64,Idle,47.9,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:11:625003,12.46,812,Disabled,1.18,13.64,9,64,Idle,47.9,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:11:640623,12.46,812,Disabled,1.18,13.63,9,64,Idle,47.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:11:656243,12.46,819,Disabled,1.18,13.64,9,64,Idle,47.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:11:671863,12.46,818,Disabled,1.18,13.63,9,64,Idle,47.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.7,ON,28 Pin,Removed,OFF
01:15:11:687482,9.69,818,Disabled,1.18,13.64,9,64,Idle,47.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.7,ON,28 Pin,Removed,OFF
01:15:11:703106,9.69,818,Disabled,1.17,13.65,9,64,Idle,47.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.3,3.7,ON,28 Pin,Removed,OFF
01:15:11:718723,9.69,826,Disabled,1.17,13.65,9,64,Idle,47.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.3,3.6,ON,28 Pin,Removed,OFF
01:15:11:734343,9.69,833,Disabled,1.18,13.64,9,64,Idle,47.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.6,ON,28 Pin,Removed,OFF
01:15:11:749966,9.69,833,Disabled,1.18,13.63,9,64,Idle,47.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.6,ON,28 Pin,Removed,OFF
01:15:11:765582,9.69,829,Disabled,1.18,13.64,9,64,Idle,46.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.6,ON,28 Pin,Removed,OFF
01:15:11:781203,9.69,829,Disabled,1.18,13.64,9,64,Idle,46.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.6,ON,28 Pin,Removed,OFF
01:15:11:796825,9.69,836,Disabled,1.17,13.63,9,64,Idle,46.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.7,ON,28 Pin,Removed,OFF
01:15:11:812443,9.69,837,Disabled,1.17,13.62,9,64,Idle,46.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.7,ON,28 Pin,Removed,OFF
01:15:11:828063,9.69,838,Disabled,1.17,13.62,9,64,Idle,46.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.7,ON,28 Pin,Removed,OFF
01:15:11:843683,9.69,838,Disabled,1.18,13.64,9,64,Idle,46.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.7,ON,28 Pin,Removed,OFF
01:15:11:859307,9.69,826,Disabled,1.18,13.64,9,64,Idle,46.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:11:874923,9.69,826,Disabled,1.17,13.65,9,64,Idle,46.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:890543,6.92,826,Disabled,1.17,13.65,9,64,Idle,46.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:906163,6.92,839,Disabled,1.18,13.66,9,64,Idle,46.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:921783,6.92,839,Disabled,1.18,13.65,9,64,Idle,46.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:11:937402,6.92,836,Disabled,1.18,13.65,9,64,Idle,45.9,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.6,ON,28 Pin,Removed,OFF
01:15:11:953023,6.92,840,Disabled,1.18,13.65,9,64,Idle,45.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.6,ON,28 Pin,Removed,OFF
01:15:11:968644,6.92,840,Disabled,1.18,13.64,9,64,Idle,45.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.6,ON,28 Pin,Removed,OFF
01:15:11:984263,6.92,840,Disabled,1.18,13.64,9,64,Idle,45.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.6,ON,28 Pin,Removed,OFF
01:15:11:999883,6.92,835,Disabled,1.17,13.64,9,64,Idle,45.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.6,ON,28 Pin,Removed,OFF
01:15:12:015502,6.92,835,Disabled,1.17,13.64,9,64,Idle,45.4,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.6,ON,28 Pin,Removed,OFF
01:15:12:031123,6.92,834,Disabled,1.17,13.63,9,64,Idle,45.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.6,ON,28 Pin,Removed,OFF
01:15:12:046743,6.92,834,Disabled,1.17,13.65,9,64,Idle,45.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.6,ON,28 Pin,Removed,OFF
01:15:12:062365,6.92,834,Disabled,1.17,13.65,9,64,Idle,45.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.6,ON,28 Pin,Removed,OFF
01:15:12:077983,6.92,834,Disabled,1.17,13.64,9,64,Idle,45.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.6,ON,28 Pin,Removed,OFF
01:15:12:093603,6.92,829,Disabled,1.17,13.65,9,64,Idle,45.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.6,ON,28 Pin,Removed,OFF
01:15:12:109223,6.92,819,Disabled,1.17,13.66,9,64,Idle,45.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.6,ON,28 Pin,Removed,OFF
01:15:12:124842,6.92,819,Disabled,1.18,13.66,9,64,Idle,44.9,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.6,ON,28 Pin,Removed,OFF
01:15:12:140463,6.92,815,Disabled,1.18,13.66,9,64,Idle,44.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.6,ON,28 Pin,Removed,OFF
01:15:12:156084,6.92,815,Disabled,1.19,13.66,9,64,Idle,44.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:12:171703,6.92,811,Disabled,1.19,13.66,9,64,Idle,44.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:12:187326,6.92,806,Disabled,1.19,13.65,9,64,Idle,44.6,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:12:202948,6.92,806,Disabled,1.19,13.65,9,64,Idle,44.6,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:12:218562,6.92,806,Disabled,1.19,13.66,9,64,Idle,44.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:12:234186,6.92,801,Disabled,1.19,13.66,9,64,Idle,44.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:12:249803,6.92,801,Disabled,1.19,13.65,9,64,Idle,44.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:12:265423,6.92,801,Disabled,1.19,13.65,9,64,Idle,44.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:12:281042,6.92,798,Disabled,1.19,13.66,9,64,Idle,44.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.9,ON,28 Pin,Removed,OFF
01:15:12:296665,6.92,789,Disabled,1.19,13.66,9,64,Idle,44.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.8,ON,28 Pin,Removed,OFF
01:15:12:312282,6.92,789,Disabled,1.19,13.66,9,64,Idle,43.9,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.8,ON,28 Pin,Removed,OFF
01:15:12:327903,11.07,789,Disabled,1.19,13.65,9,64,Idle,43.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.8,ON,28 Pin,Removed,OFF
01:15:12:343523,11.07,789,Disabled,1.19,13.65,9,64,Idle,43.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.8,ON,28 Pin,Removed,OFF
01:15:12:359142,11.07,789,Disabled,1.19,13.65,9,64,Idle,43.4,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:12:374763,11.07,776,Disabled,1.19,13.65,9,64,Idle,43.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:12:390383,11.07,776,Disabled,1.19,13.66,9,64,Idle,43.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:12:406002,15.23,776,Disabled,1.19,13.65,9,64,Idle,43.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:12:421624,15.23,804,Disabled,1.19,13.64,9,64,Idle,43.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:12:437243,15.23,803,Disabled,1.19,13.65,9,64,Idle,43.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:12:452863,15.23,803,Disabled,1.19,13.67,9,64,Idle,43.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:12:468485,15.23,802,Disabled,1.19,13.67,9,64,Idle,42.8,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.8,ON,28 Pin,Removed,OFF
01:15:12:484104,11.07,796,Disabled,1.19,13.67,9,64,Idle,42.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:12:499722,11.07,789,Disabled,1.18,13.69,9,64,Idle,42.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:12:515343,11.07,808,Disabled,1.18,13.67,9,64,Idle,42.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.8,ON,28 Pin,Removed,OFF
01:15:12:530965,11.07,808,Disabled,1.18,13.67,9,64,Idle,42.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.8,ON,28 Pin,Removed,OFF
01:15:12:546583,11.07,808,Disabled,1.19,13.67,9,64,Idle,42.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.3,3.8,ON,28 Pin,Removed,OFF
01:15:12:562202,9.69,827,Disabled,1.18,13.65,9,64,Idle,42.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.2,3.8,ON,28 Pin,Removed,OFF
01:15:12:577825,9.69,827,Disabled,1.18,13.66,9,64,Idle,42.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.3,3.8,ON,28 Pin,Removed,OFF
01:15:12:593442,9.69,810,Disabled,1.18,13.65,9,64,Idle,42.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.3,3.8,ON,28 Pin,Removed,OFF
01:15:12:609066,9.69,810,Disabled,1.18,13.65,9,64,Idle,42.4,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.7,ON,28 Pin,Removed,OFF
01:15:12:624683,5.53,818,Disabled,1.18,13.66,9,64,Idle,42.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.4,3.7,ON,28 Pin,Removed,OFF
01:15:12:640302,5.53,826,Disabled,1.18,13.66,9,64,Idle,42.1,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:12:655923,5.53,826,Disabled,1.18,13.66,9,64,Idle,42.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.7,ON,28 Pin,Removed,OFF
01:15:12:671543,5.53,826,Disabled,1.18,13.66,9,64,Idle,42.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.7,ON,28 Pin,Removed,OFF
01:15:12:687162,5.53,816,Disabled,1.18,13.67,9,64,Idle,41.9,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.8,3.6,ON,28 Pin,Removed,OFF
01:15:12:702785,5.53,815,Disabled,1.18,13.66,9,64,Idle,41.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.7,3.6,ON,28 Pin,Removed,OFF
01:15:12:718403,5.53,815,Disabled,1.18,13.67,9,64,Idle,41.7,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.6,ON,28 Pin,Removed,OFF
01:15:12:734022,5.53,818,Disabled,1.18,13.66,9,64,Idle,41.6,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.6,ON,28 Pin,Removed,OFF
01:15:12:749643,5.53,818,Disabled,1.18,13.66,9,64,Idle,41.6,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:12:765263,5.53,810,Disabled,1.18,13.66,9,64,Idle,41.5,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:12:780883,5.53,810,Disabled,1.18,13.66,9,64,Idle,41.3,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.5,3.7,ON,28 Pin,Removed,OFF
01:15:12:796508,5.53,810,Disabled,1.19,13.66,9,64,Idle,41.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:12:812124,5.53,805,Disabled,1.19,13.66,9,64,Idle,41.2,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.6,3.7,ON,28 Pin,Removed,OFF
01:15:12:827743,5.53,805,Disabled,1.19,13.67,9,64,Idle,41.0,1,1,130,944 NA,0.46,Lean,0,12.5,0.00,Disabled,Disabled,6.3,3.7,ON,28 Pin,Removed,OFF
